DateKey,Year,Month,MonthName,Quarter,Half,YearMonth,IsHolidaySeason,IsSummer
201501,2015,1,January,Q1,H1,2015-01,0,0
201502,2015,2,February,Q1,H1,2015-02,0,0
201503,2015,3,March,Q1,H1,2015-03,0,0
201504,2015,4,April,Q2,H1,2015-04,0,0
201505,2015,5,May,Q2,H1,2015-05,0,0
201506,2015,6,June,Q2,H1,2015-06,0,1
201507,2015,7,July,Q3,H2,2015-07,0,1
201508,2015,8,August,Q3,H2,2015-08,0,1
201509,2015,9,September,Q3,H2,2015-09,0,0
201510,2015,10,October,Q4,H2,2015-10,0,0
201511,2015,11,November,Q4,H2,2015-11,1,0
201512,2015,12,December,Q4,H2,2015-12,1,0
201601,2016,1,January,Q1,H1,2016-01,0,0
201602,2016,2,February,Q1,H1,2016-02,0,0
201603,2016,3,March,Q1,H1,2016-03,0,0
201604,2016,4,April,Q2,H1,2016-04,0,0
201605,2016,5,May,Q2,H1,2016-05,0,0
201606,2016,6,June,Q2,H1,2016-06,0,1
201607,2016,7,July,Q3,H2,2016-07,0,1
201608,2016,8,August,Q3,H2,2016-08,0,1
201609,2016,9,September,Q3,H2,2016-09,0,0
201610,2016,10,October,Q4,H2,2016-10,0,0
201611,2016,11,November,Q4,H2,2016-11,1,0
201612,2016,12,December,Q4,H2,2016-12,1,0
201701,2017,1,January,Q1,H1,2017-01,0,0
201702,2017,2,February,Q1,H1,2017-02,0,0
201703,2017,3,March,Q1,H1,2017-03,0,0
201704,2017,4,April,Q2,H1,2017-04,0,0
201705,2017,5,May,Q2,H1,2017-05,0,0
201706,2017,6,June,Q2,H1,2017-06,0,1
201707,2017,7,July,Q3,H2,2017-07,0,1
201708,2017,8,August,Q3,H2,2017-08,0,1
201709,2017,9,September,Q3,H2,2017-09,0,0
201710,2017,10,October,Q4,H2,2017-10,0,0
201711,2017,11,November,Q4,H2,2017-11,1,0
201712,2017,12,December,Q4,H2,2017-12,1,0
201801,2018,1,January,Q1,H1,2018-01,0,0
201802,2018,2,February,Q1,H1,2018-02,0,0
201803,2018,3,March,Q1,H1,2018-03,0,0
201804,2018,4,April,Q2,H1,2018-04,0,0
201805,2018,5,May,Q2,H1,2018-05,0,0
201806,2018,6,June,Q2,H1,2018-06,0,1
201807,2018,7,July,Q3,H2,2018-07,0,1
201808,2018,8,August,Q3,H2,2018-08,0,1
201809,2018,9,September,Q3,H2,2018-09,0,0
201810,2018,10,October,Q4,H2,2018-10,0,0
201811,2018,11,November,Q4,H2,2018-11,1,0
201812,2018,12,December,Q4,H2,2018-12,1,0
201901,2019,1,January,Q1,H1,2019-01,0,0
201902,2019,2,February,Q1,H1,2019-02,0,0
201903,2019,3,March,Q1,H1,2019-03,0,0
201904,2019,4,April,Q2,H1,2019-04,0,0
201905,2019,5,May,Q2,H1,2019-05,0,0
201906,2019,6,June,Q2,H1,2019-06,0,1
201907,2019,7,July,Q3,H2,2019-07,0,1
201908,2019,8,August,Q3,H2,2019-08,0,1
201909,2019,9,September,Q3,H2,2019-09,0,0
201910,2019,10,October,Q4,H2,2019-10,0,0
201911,2019,11,November,Q4,H2,2019-11,1,0
201912,2019,12,December,Q4,H2,2019-12,1,0
202001,2020,1,January,Q1,H1,2020-01,0,0
202002,2020,2,February,Q1,H1,2020-02,0,0
202003,2020,3,March,Q1,H1,2020-03,0,0
202004,2020,4,April,Q2,H1,2020-04,0,0
202005,2020,5,May,Q2,H1,2020-05,0,0
202006,2020,6,June,Q2,H1,2020-06,0,1
202007,2020,7,July,Q3,H2,2020-07,0,1
202008,2020,8,August,Q3,H2,2020-08,0,1
202009,2020,9,September,Q3,H2,2020-09,0,0
202010,2020,10,October,Q4,H2,2020-10,0,0
202011,2020,11,November,Q4,H2,2020-11,1,0
202012,2020,12,December,Q4,H2,2020-12,1,0
202101,2021,1,January,Q1,H1,2021-01,0,0
202102,2021,2,February,Q1,H1,2021-02,0,0
202103,2021,3,March,Q1,H1,2021-03,0,0
202104,2021,4,April,Q2,H1,2021-04,0,0
202105,2021,5,May,Q2,H1,2021-05,0,0
202106,2021,6,June,Q2,H1,2021-06,0,1
202107,2021,7,July,Q3,H2,2021-07,0,1
202108,2021,8,August,Q3,H2,2021-08,0,1
202109,2021,9,September,Q3,H2,2021-09,0,0
202110,2021,10,October,Q4,H2,2021-10,0,0
202111,2021,11,November,Q4,H2,2021-11,1,0
202112,2021,12,December,Q4,H2,2021-12,1,0
202201,2022,1,January,Q1,H1,2022-01,0,0
202202,2022,2,February,Q1,H1,2022-02,0,0
202203,2022,3,March,Q1,H1,2022-03,0,0
202204,2022,4,April,Q2,H1,2022-04,0,0
202205,2022,5,May,Q2,H1,2022-05,0,0
202206,2022,6,June,Q2,H1,2022-06,0,1
202207,2022,7,July,Q3,H2,2022-07,0,1
202208,2022,8,August,Q3,H2,2022-08,0,1
202209,2022,9,September,Q3,H2,2022-09,0,0
202210,2022,10,October,Q4,H2,2022-10,0,0
202211,2022,11,November,Q4,H2,2022-11,1,0
202212,2022,12,December,Q4,H2,2022-12,1,0
202301,2023,1,January,Q1,H1,2023-01,0,0
202302,2023,2,February,Q1,H1,2023-02,0,0
202303,2023,3,March,Q1,H1,2023-03,0,0
202304,2023,4,April,Q2,H1,2023-04,0,0
202305,2023,5,May,Q2,H1,2023-05,0,0
202306,2023,6,June,Q2,H1,2023-06,0,1
202307,2023,7,July,Q3,H2,2023-07,0,1
202308,2023,8,August,Q3,H2,2023-08,0,1
202309,2023,9,September,Q3,H2,2023-09,0,0
202310,2023,10,October,Q4,H2,2023-10,0,0
202311,2023,11,November,Q4,H2,2023-11,1,0
202312,2023,12,December,Q4,H2,2023-12,1,0
202401,2024,1,January,Q1,H1,2024-01,0,0
202402,2024,2,February,Q1,H1,2024-02,0,0
202403,2024,3,March,Q1,H1,2024-03,0,0
202404,2024,4,April,Q2,H1,2024-04,0,0
202405,2024,5,May,Q2,H1,2024-05,0,0
202406,2024,6,June,Q2,H1,2024-06,0,1
202407,2024,7,July,Q3,H2,2024-07,0,1
202408,2024,8,August,Q3,H2,2024-08,0,1
202409,2024,9,September,Q3,H2,2024-09,0,0
202410,2024,10,October,Q4,H2,2024-10,0,0
202411,2024,11,November,Q4,H2,2024-11,1,0
202412,2024,12,December,Q4,H2,2024-12,1,0
